Year,Health Plan Type,Plan Name,Measure Name,Submeasure Name,Measure definition,Computed Value,State Average by Carrier Type (Stratified),Utah Average,National Average,Method,Measure ID,Data Element
2014,CHIP,Molina,Asthma Medication Ratio,,Percentage of members 5 to 64 year of age with persistent asthma and had a ratio of controller medications to total asthma medications of 50% of greater,67.86,,74.2,65.48,Administrative,,
2014,CHIP,SelectHealth,Asthma Medication Ratio,,Percentage of members 5 to 64 year of age with persistent asthma and had a ratio of controller medications to total asthma medications of 50% of greater,80.53,,74.2,65.48,Administrative,,
2014,Commercial HMO,Altius,Asthma Medication Ratio,,Percentage of members 5 to 64 year of age with persistent asthma and had a ratio of controller medications to total asthma medications of 50% of greater,82.58,,83.31,79.85,Administrative,,
2014,Commercial HMO,SelectHealth,Asthma Medication Ratio,,Percentage of members 5 to 64 year of age with persistent asthma and had a ratio of controller medications to total asthma medications of 50% of greater,84.03,,83.31,79.85,Administrative,,
2013,Commercial PPO,Aetna,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,83.05,,75.59,0,Administrative,,
2013,Commercial PPO,CIGNA,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,77.31,,75.59,0,Administrative,,
2013,Commercial PPO,Humana,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,68.15,,75.59,0,Administrative,,
2013,Commercial PPO,Regence,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,74.67,,75.59,0,Administrative,,
2013,Commercial PPO,United Healthcare,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,74.78,,75.59,0,Administrative,,
2014,Commercial PPO,Aetna,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,76.25,,78.6,78.36,Administrative,,
2014,Commercial PPO,CIGNA,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,80.6,,78.6,78.36,Administrative,,
2014,Commercial PPO,EMI Health,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,81.22,,78.6,78.36,Administrative,,
2014,Commercial PPO,Humana,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,77.54,,78.6,78.36,Administrative,,
2014,Commercial PPO,Regence,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,79.14,,78.6,78.36,Administrative,,
2014,Commercial PPO,United Healthcare,Asthma Medication Ratio,,Percentage of members 5-64 years of age who were identified as having persistent asthma and had a ratio of controller medications to total asthma medications of 0.50 or greater during the measurement year.,76.85,,78.6,78.36,Administrative,,
2014,Medicaid,Healthy U,Asthma Medication Ratio,,Percentage of members 5 to 64 year of age with persistent asthma and had a ratio of controller medications to total asthma medications of 50% of greater,61.9,,70.7,65.48,Administrative,,
2014,Medicaid,Molina,Asthma Medication Ratio,,Percentage of members 5 to 64 year of age with persistent asthma and had a ratio of controller medications to total asthma medications of 50% of greater,67.86,,70.7,65.48,Administrative,,
2014,Medicaid,SelectHealth,Asthma Medication Ratio,,Percentage of members 5 to 64 year of age with persistent asthma and had a ratio of controller medications to total asthma medications of 50% of greater,82.35,,70.7,65.48,Administrative,,
